CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_UNKNOWN,INJURIES_NO_INDICATION,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
d8c80e86180c4506f423fb9460d28e0fe891c01c2987255a038de8509b700ef5c006f2dc15a22476bfbe9c48378a537ebdc552e0cfdd7f44bdd3af64f627922c,Y,06/03/2025 05:10:00 PM,25,STOP SIGN/FLASHER,OTHER,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",06/03/2025 07:00:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,5356,N,CALIFORNIA AVE,2011,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,17,3,6,41.9793635182,-87.6991819651,POINT (-87.699181965134 41.979363518208)
67706dc635ce606f08f42227a743ad0b8aab7008a9512fae4da29801cc0db979fa353bccdb03b2e87372f817ebec6e04401fbd208a9e0c0a03f3dfefc1b29908,,06/02/2025 12:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",06/02/2025 01:45:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,6219,S,TALMAN AVE,825,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,1,12,2,6,41.7803948345,-87.689627434,POINT (-87.689627433951 41.78039483451)
d43379aca7691ceee793fba3507b423ede7f20388f9be5a2bfc0414fcfb77df2e8a47b700d6c13a4730682366716a667ec8f770f35c6d01023b3874f592ec570,,05/30/2025 10:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",05/31/2025 12:04:00 AM,IMPROPER OVERTAKING/PASSING,IMPROPER OVERTAKING/PASSING,500,S,COLUMBUS DR,114,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,2,0,0,1,22,6,5,41.8757110332,-87.6207367629,POINT (-87.620736762921 41.875711033222)
baba76ee13f2f44fb700bbc1b09a2f7ff7b5c6cf6410b0a4471a03bd48625116f21f7532a0000e9eea43d9840ff5137956b03a79588da220489a516a1871d8eb,,05/30/2025 06:55:00 PM,30,OTHER,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",05/30/2025 07:15:00 PM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,1171,E,76TH ST,411,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,3,18,6,5,41.756750111,-87.5955658519,POINT (-87.595565851919 41.756750110971)
e97b49deded9f134af0f8db3448ba90f5d29f4cf9069d9d8ac4b70034fa0112ee96ae6763cb6e60bea6a2c6e48eb66039e0d373f76249a668f40372f27641f6c,,05/29/2025 09:00:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",05/29/2025 09:15:00 AM,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,3131,N,BROADWAY,1934,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,3,9,5,5,41.9386529995,-87.6442051391,POINT (-87.644205139066 41.938652999479)
500b2c1b3ef10a48a7a3ff51370ffabdbc4c52bff230a033f52582748c7b13d2572e77847dbc6c98624eb592587aa023fde0ad695b70013d319d1347d2df6cfa,,05/23/2025 06:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDESTRIAN,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,N,"OVER $1,500",05/23/2025 07:15:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,2958,W,NORTH AVE,1421,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,18,6,5,41.9102850645,-87.7014549971,POINT (-87.701454997098 41.910285064457)
dc8af61ca416e9fa8c1ba915086ec33c6c3ad7dd7ae14efb42dc6eee317cdb700676ea211263a404f7537ab6898f90e45096caa57b98f372d4e0572e7efc379a,,05/21/2025 12:30:00 PM,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",05/21/2025 02:00:00 PM,IMPROPER LANE USAGE,IMPROPER OVERTAKING/PASSING,15,E,71ST ST,323,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,12,4,5,41.7653814424,-87.6241775353,POINT (-87.624177535316 41.76538144244)
f4ba738daa74f4413de5a5fb1e020abf28e894a7f6ba06a791332509ddab80bc7e53184571692d36bddc7446c6201b7000043e109bc9fe48d43a4bf759d9d9cf,N,05/19/2025 07:45:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",05/19/2025 07:53:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,5621,S,PAYNE DR,233,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,1,19,2,5,41.7923236386,-87.6078517799,POINT (-87.607851779948 41.792323638589)
0e9284373ec3b5e3f12bfa0f73023e0455aad6d5fcb92dd35d5f97f0edcf125a8c1b250eb4894a77f6be6b6eb347d5b700e6ee76201eff1369bcfbe81ad99160,,05/18/2025 07:30:00 AM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,05/19/2025 04:59:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,5401,W,DEVON AVE,1621,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,0,2,7,1,5,41.9972178998,-87.7638594791,POINT (-87.7638594791 41.99721789977)
95f72b6f3c37eb6a1c5cb75bf5b70046793373f4405d6926e07b8627f36395586a08daeced3e2fbe73458a5ebfd2ccc959a1a93ab43923f5110c4779d3c25f11,,05/17/2025 04:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",05/17/2025 04:45:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,6015,W,IRVING PARK RD,1633,,,,,,,2,NONINCAPACITATING INJURY,1,0,0,1,0,0,1,16,7,5,41.952931826,-87.7773852189,POINT (-87.777385218902 41.952931826046)
