CRASH_UNIT_ID,CRASH_RECORD_ID,CRASH_DATE,UNIT_NO,UNIT_TYPE,NUM_PASSENGERS,VEHICLE_ID,CMRC_VEH_I,MAKE,MODEL,LIC_PLATE_STATE,VEHICLE_YEAR,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,TOWED_I,FIRE_I,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,TOWED_BY,TOWED_TO,AREA_00_I,AREA_01_I,AREA_02_I,AREA_03_I,AREA_04_I,AREA_05_I,AREA_06_I,AREA_07_I,AREA_08_I,AREA_09_I,AREA_10_I,AREA_11_I,AREA_12_I,AREA_99_I,FIRST_CONTACT_POINT,CMV_ID,USDOT_NO,CCMC_NO,ILCC_NO,COMMERCIAL_SRC,GVWR,CARRIER_NAME,CARRIER_STATE,CARRIER_CITY,HAZMAT_PLACARDS_I,HAZMAT_NAME,UN_NO,HAZMAT_PRESENT_I,HAZMAT_REPORT_I,HAZMAT_REPORT_NO,MCS_REPORT_I,MCS_REPORT_NO,HAZMAT_VIO_CAUSE_CRASH_I,MCS_VIO_CAUSE_CRASH_I,IDOT_PERMIT_NO,WIDE_LOAD_I,TRAILER1_WIDTH,TRAILER2_WIDTH,TRAILER1_LENGTH,TRAILER2_LENGTH,TOTAL_VEHICLE_LENGTH,AXLE_CNT,VEHICLE_CONFIG,CARGO_BODY_TYPE,LOAD_TYPE,HAZMAT_OUT_OF_SERVICE_I,MCS_OUT_OF_SERVICE_I,HAZMAT_CLASS
2077090,d8c80e86180c4506f423fb9460d28e0fe891c01c2987255a038de8509b700ef5c006f2dc15a22476bfbe9c48378a537ebdc552e0cfdd7f44bdd3af64f627922c,06/03/2025 05:10:00 PM,1,DRIVER,,1980087,,SUBARU,FORESTER,IL,2013,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2077091,d8c80e86180c4506f423fb9460d28e0fe891c01c2987255a038de8509b700ef5c006f2dc15a22476bfbe9c48378a537ebdc552e0cfdd7f44bdd3af64f627922c,06/03/2025 05:10:00 PM,2,DRIVER,,1980094,,TOYOTA,TACOMA,IL,2007,UNKNOWN,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,Y,Y,Y,,,,,,,,,,SIDE-RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076001,67706dc635ce606f08f42227a743ad0b8aab7008a9512fae4da29801cc0db979fa353bccdb03b2e87372f817ebec6e04401fbd208a9e0c0a03f3dfefc1b29908,06/02/2025 12:00:00 PM,1,DRIVER,,1979056,,CHEVROLET,SILVERADO,IL,2019,UNKNOWN,PICKUP,PERSONAL,S,BACKING,,,1,,,,,,,,,,Y,,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2076002,67706dc635ce606f08f42227a743ad0b8aab7008a9512fae4da29801cc0db979fa353bccdb03b2e87372f817ebec6e04401fbd208a9e0c0a03f3dfefc1b29908,06/02/2025 12:00:00 PM,2,PARKED,,1979060,,DODGE,CHALLENGER,IL,2014,NONE,PASSENGER,PERSONAL,N,PARKED,,,0,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074430,d43379aca7691ceee793fba3507b423ede7f20388f9be5a2bfc0414fcfb77df2e8a47b700d6c13a4730682366716a667ec8f770f35c6d01023b3874f592ec570,05/30/2025 10:00:00 PM,1,DRIVER,,1977547,Y,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,2022,NONE,UNKNOWN/NA,COMMERCIAL - MULTI-UNIT,S,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074431,d43379aca7691ceee793fba3507b423ede7f20388f9be5a2bfc0414fcfb77df2e8a47b700d6c13a4730682366716a667ec8f770f35c6d01023b3874f592ec570,05/30/2025 10:00:00 PM,2,DRIVER,1,1977555,,BMW,X5,IL,2012,NONE,PASSENGER,PERSONAL,S,BACKING,,,2,,,,,,,,,,,,,,N,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074280,baba76ee13f2f44fb700bbc1b09a2f7ff7b5c6cf6410b0a4471a03bd48625116f21f7532a0000e9eea43d9840ff5137956b03a79588da220489a516a1871d8eb,05/30/2025 06:55:00 PM,1,DRIVER,,1977400,,KIA,FORTE,IL,2019,UNKNOWN,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074281,baba76ee13f2f44fb700bbc1b09a2f7ff7b5c6cf6410b0a4471a03bd48625116f21f7532a0000e9eea43d9840ff5137956b03a79588da220489a516a1871d8eb,05/30/2025 06:55:00 PM,2,DRIVER,1,1977417,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),IL,2020,NONE,SPORT UTILITY VEHICLE (SUV),PERSONAL,E,STRAIGHT AHEAD,,,2,,,,,,,,,Y,Y,Y,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073069,e97b49deded9f134af0f8db3448ba90f5d29f4cf9069d9d8ac4b70034fa0112ee96ae6763cb6e60bea6a2c6e48eb66039e0d373f76249a668f40372f27641f6c,05/29/2025 09:00:00 AM,1,DRIVER,1,1976238,,VOLVO,OTHER (EXPLAIN IN NARRATIVE),IL,2023,UNKNOWN,PASSENGER,PERSONAL,S,ENTERING TRAFFIC LANE FROM PARKING,Y,,2,,,,,,,,,,,,,Y,Y,Y,Y,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2073070,e97b49deded9f134af0f8db3448ba90f5d29f4cf9069d9d8ac4b70034fa0112ee96ae6763cb6e60bea6a2c6e48eb66039e0d373f76249a668f40372f27641f6c,05/29/2025 09:00:00 AM,2,DRIVER,,1976242,,FORD,OTHER (EXPLAIN IN NARRATIVE),IL,2023,UNKNOWN,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,,,1,,,,,Y,Y,Y,,,,,,,,,,,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069519,500b2c1b3ef10a48a7a3ff51370ffabdbc4c52bff230a033f52582748c7b13d2572e77847dbc6c98624eb592587aa023fde0ad695b70013d319d1347d2df6cfa,05/23/2025 06:30:00 PM,1,DRIVER,,1972820,,TOYOTA,CAMRY,,2017,NONE,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069520,500b2c1b3ef10a48a7a3ff51370ffabdbc4c52bff230a033f52582748c7b13d2572e77847dbc6c98624eb592587aa023fde0ad695b70013d319d1347d2df6cfa,05/23/2025 06:30:00 PM,2,PEDESTRIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067787,dc8af61ca416e9fa8c1ba915086ec33c6c3ad7dd7ae14efb42dc6eee317cdb700676ea211263a404f7537ab6898f90e45096caa57b98f372d4e0572e7efc379a,05/21/2025 12:30:00 PM,1,DRIVER,,1971149,,CHEVROLET,OTHER (EXPLAIN IN NARRATIVE),IL,2020,OTHER,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,E,PASSING/OVERTAKING,,,1,,,,,,,,,,,,,,,,,Y,SIDE-LEFT-REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067788,dc8af61ca416e9fa8c1ba915086ec33c6c3ad7dd7ae14efb42dc6eee317cdb700676ea211263a404f7537ab6898f90e45096caa57b98f372d4e0572e7efc379a,05/21/2025 12:30:00 PM,2,DRIVER,,1971155,,NISSAN,VERSA,,2023,NONE,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066555,f4ba738daa74f4413de5a5fb1e020abf28e894a7f6ba06a791332509ddab80bc7e53184571692d36bddc7446c6201b7000043e109bc9fe48d43a4bf759d9d9cf,05/19/2025 07:45:00 PM,1,DRIVER,,1969963,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,UNKNOWN,UNKNOWN/NA,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066556,f4ba738daa74f4413de5a5fb1e020abf28e894a7f6ba06a791332509ddab80bc7e53184571692d36bddc7446c6201b7000043e109bc9fe48d43a4bf759d9d9cf,05/19/2025 07:45:00 PM,2,PARKED,,1969966,,SUBARU,IMPREZA,IL,2018,NONE,PASSENGER,PERSONAL,S,PARKED,,,0,,,,,,,,,,,,,,,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066376,0e9284373ec3b5e3f12bfa0f73023e0455aad6d5fcb92dd35d5f97f0edcf125a8c1b250eb4894a77f6be6b6eb347d5b700e6ee76201eff1369bcfbe81ad99160,05/18/2025 07:30:00 AM,1,DRIVER,,1969780,,LEXUS,OTHER (EXPLAIN IN NARRATIVE),IL,2009,NONE,PASSENGER,UNKNOWN/NA,E,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066377,0e9284373ec3b5e3f12bfa0f73023e0455aad6d5fcb92dd35d5f97f0edcf125a8c1b250eb4894a77f6be6b6eb347d5b700e6ee76201eff1369bcfbe81ad99160,05/18/2025 07:30:00 AM,2,DRIVER,,1969790,,SUBARU,FORESTER,IL,2020,NONE,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,,,1,,,,,,,,,Y,Y,Y,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065193,95f72b6f3c37eb6a1c5cb75bf5b70046793373f4405d6926e07b8627f36395586a08daeced3e2fbe73458a5ebfd2ccc959a1a93ab43923f5110c4779d3c25f11,05/17/2025 04:45:00 PM,1,DRIVER,,1968664,,DODGE,RAM 1500 PU,IN,2008,UNKNOWN,PICKUP,UNKNOWN/NA,E,STRAIGHT AHEAD,,,1,,,,,,Y,Y,Y,,,,,,,,,,SIDE-RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065194,95f72b6f3c37eb6a1c5cb75bf5b70046793373f4405d6926e07b8627f36395586a08daeced3e2fbe73458a5ebfd2ccc959a1a93ab43923f5110c4779d3c25f11,05/17/2025 04:45:00 PM,2,PARKED,1,1968671,,GENERAL MOTORS CORPORATION (GMC),TERRAIN,IL,2011,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,E,PARKED,,,1,,,,,,,,,,,,,,Y,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064935,f826136b461e0e42080013d13e4530ea6f2ddb82a4565cb834e2fcf5371189e9447e7465b8ec69512e36138f89b47c78ccbb7001f3b2a48b25d0eff6513568e6,05/15/2025 03:45:00 PM,1,BICYCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064936,f826136b461e0e42080013d13e4530ea6f2ddb82a4565cb834e2fcf5371189e9447e7465b8ec69512e36138f89b47c78ccbb7001f3b2a48b25d0eff6513568e6,05/15/2025 03:45:00 PM,2,DRIVER,,1968412,,CHEVROLET,COBALT,IL,2006,UNKNOWN,PASSENGER,UNKNOWN/NA,SW,TURNING LEFT,,,1,,,,,,,,,,,,,,,Y,Y,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061224,35095be8366e15a072849fe1f8967cae839e751d29799b806e4bb63ade6118bab322108ef1143b7008c204c315b4a32cc8b13c7454558072c185fb464daab06d,05/12/2025 05:30:00 PM,1,DRIVER,,1964853,,HONDA,PILOT,IL,2007,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,N,TURNING RIGHT,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2061225,35095be8366e15a072849fe1f8967cae839e751d29799b806e4bb63ade6118bab322108ef1143b7008c204c315b4a32cc8b13c7454558072c185fb464daab06d,05/12/2025 05:30:00 PM,2,BICYCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064371,fdf0e3af9f7404f10cf3b7007b593ebaae09313e00e585c0b9e1da831099554a8510e9dc4baaedbd80a18f8b42ddf06148e1f333aca4b661d52cfb1a1162546a,05/10/2025 09:40:00 PM,1,DRIVER,,1967862,,FORD,ESCAPE,AZ,2019,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,UNKNOWN,STRAIGHT AHEAD,,,1,,,,,,,,,Y,Y,,,,,,,,SIDE-RIGHT-REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2064372,fdf0e3af9f7404f10cf3b7007b593ebaae09313e00e585c0b9e1da831099554a8510e9dc4baaedbd80a18f8b42ddf06148e1f333aca4b661d52cfb1a1162546a,05/10/2025 09:40:00 PM,2,DRIVER,,1967878,,HONDA,ACCORD,IL,2015,UNKNOWN,PASSENGER,PERSONAL,UNKNOWN,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,Y,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058454,768525e72090ec340320e234894403faeedef04503fb70084b9cd06eac42150246f978194920dd28a431071f6f5c25a7102ea05b368f386e3386b03041bfd778,05/08/2025 11:57:00 PM,1,DRIVER,,1962219,,CHEVROLET,EQUINOX,IL,2008,UNKNOWN,SPORT UTILITY VEHICLE (SUV),UNKNOWN/NA,N,TURNING RIGHT,,,1,,,,,Y,Y,Y,N,N,,,,,,,,N,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058455,768525e72090ec340320e234894403faeedef04503fb70084b9cd06eac42150246f978194920dd28a431071f6f5c25a7102ea05b368f386e3386b03041bfd778,05/08/2025 11:57:00 PM,2,DRIVER,,1962223,,VOLKSWAGEN,JETTA,IL,2011,NONE,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,Y,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058243,ede9b4318e45d0ad8818cf1aa3e055cdfbff95bdb700b22b572f2e92774b9664f436c31b056a5a64286062d4ad40f66feee91879640e93b963911b4417bad10d,05/08/2025 04:53:00 PM,1,DRIVER,,1962025,,BMW,OTHER (EXPLAIN IN NARRATIVE),IL,2014,UNKNOWN,PICKUP,PERSONAL,S,STRAIGHT AHEAD,Y,,1,,UNKNOWN/PRIVATE TOW BY OWNER,UNKNOWN,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058244,ede9b4318e45d0ad8818cf1aa3e055cdfbff95bdb700b22b572f2e92774b9664f436c31b056a5a64286062d4ad40f66feee91879640e93b963911b4417bad10d,05/08/2025 04:53:00 PM,2,DRIVER,,1962041,Y,LINCOLN,AVIATOR,IL,2020,UNKNOWN,PASSENGER,UNKNOWN/NA,W,STRAIGHT AHEAD,Y,,1,,UNKNOWN/PRIVATE TOW BY OWNER,UNKNOWN,,Y,Y,Y,N,,,,,,,,,,SIDE-RIGHT,21396,,,,,,UNKNOWN,,UNKNOWN,,,,N,N,,N,,N,N,,,,,,,,,,OTHER,OTHER,N,N,
2057812,4cc0bcceb8aac2fa51cbcc23e50b7000d5ed99ca47d23fff3d246ac95f833d40f07983d9942ef3bc9d2a2932855f331e1e17241ddde1280514af5a2287d76e91,05/07/2025 10:29:00 PM,1,DRIVER,,1961597,,AUDI,OTHER (EXPLAIN IN NARRATIVE),IL,2013,NONE,SPORT UTILITY VEHICLE (SUV),PERSONAL,S,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,N,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057813,4cc0bcceb8aac2fa51cbcc23e50b7000d5ed99ca47d23fff3d246ac95f833d40f07983d9942ef3bc9d2a2932855f331e1e17241ddde1280514af5a2287d76e91,05/07/2025 10:29:00 PM,2,DRIVER,,1961599,,NISSAN,ROGUE,IL,2019,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,,,1,,,,,Y,Y,,,,,,,,,,,,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055840,18793769679218f71b6370e851e800cee26b61cd1272b1fa7a3cdc30f12cf8adddf9350b5e9adb21539690cb7000219cd7e3c2f3c7f1b38b1ef39c8db2f481dc,05/05/2025 09:55:00 AM,1,DRIVER,,1959680,,MERCEDES-BENZ,CLK320,IL,2005,NONE,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,Y,,,FRONT-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2055841,18793769679218f71b6370e851e800cee26b61cd1272b1fa7a3cdc30f12cf8adddf9350b5e9adb21539690cb7000219cd7e3c2f3c7f1b38b1ef39c8db2f481dc,05/05/2025 09:55:00 AM,2,DRIVER,,1959683,,TOYOTA,RAV4,IL,2024,NONE,PASSENGER,PERSONAL,SW,TURNING LEFT,,,1,,,,,Y,,,,,,,,,,,Y,,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
